"my_date","my_value","bullet","bulletClass","label"
"23.03.2023","12.7470","round","min-pulsating-bullet","min"
"24.03.2023","12.8571","","",""
"27.03.2023","12.9108","","",""
"28.03.2023","12.8773","","",""
"29.03.2023","12.8432","","",""
"30.03.2023","12.8817","","",""
"31.03.2023","12.9595","","",""
"03.04.2023","12.8164","","",""
"04.04.2023","12.8640","","",""
"05.04.2023","12.9999","","",""
"11.04.2023","13.1568","","",""
"12.04.2023","13.0336","","",""
"13.04.2023","13.0107","","",""
"14.04.2023","12.8924","","",""
"17.04.2023","12.8591","","",""
"18.04.2023","13.0101","","",""
"19.04.2023","13.0902","","",""
"20.04.2023","13.1635","","",""
"21.04.2023","13.1540","","",""
"24.04.2023","13.1660","","",""
"25.04.2023","13.1931","","",""
"26.04.2023","13.2362","","",""
"27.04.2023","13.2469","","",""
"28.04.2023","13.3913","","",""
"02.05.2023","13.3860","","",""
"03.05.2023","13.4663","","",""
"04.05.2023","13.4388","","",""
"05.05.2023","13.3781","","",""
"08.05.2023","13.2417","","",""
"09.05.2023","13.3061","","",""
"10.05.2023","13.3027","","",""
"11.05.2023","13.2703","","",""
"12.05.2023","13.3659","","",""
"15.05.2023","13.3225","","",""
"16.05.2023","13.3578","","",""
"19.05.2023","13.4742","","",""
"22.05.2023","13.5602","round","max-pulsating-bullet","max"
"23.05.2023","13.5551","","",""
