"my_date","my_value","bullet","bulletClass","label"
"23.03.2023","11.2840","","",""
"24.03.2023","11.3065","","",""
"27.03.2023","11.3380","","",""
"28.03.2023","11.3240","","",""
"29.03.2023","11.3005","","",""
"30.03.2023","11.3570","","",""
"31.03.2023","11.3940","","",""
"03.04.2023","11.2515","","",""
"04.04.2023","11.2345","round","min-pulsating-bullet","min"
"05.04.2023","11.3990","","",""
"11.04.2023","11.5435","","",""
"12.04.2023","11.4745","","",""
"13.04.2023","11.4570","","",""
"14.04.2023","11.4020","","",""
"17.04.2023","11.3640","","",""
"18.04.2023","11.4675","","",""
"19.04.2023","11.5335","","",""
"20.04.2023","11.6040","","",""
"21.04.2023","11.6505","","",""
"24.04.2023","11.6470","","",""
"25.04.2023","11.6950","","",""
"26.04.2023","11.7220","","",""
"27.04.2023","11.7140","","",""
"28.04.2023","11.7910","","",""
"02.05.2023","11.7620","","",""
"03.05.2023","11.8860","round","max-pulsating-bullet","max"
"04.05.2023","11.8282","","",""
"05.05.2023","11.6895","","",""
"08.05.2023","11.5505","","",""
"09.05.2023","11.5750","","",""
"10.05.2023","11.5485","","",""
"11.05.2023","11.5180","","",""
"12.05.2023","11.6310","","",""
"15.05.2023","11.5830","","",""
"16.05.2023","11.6130","","",""
"19.05.2023","11.7010","","",""
"22.05.2023","11.7765","","",""
"23.05.2023","11.7920","","",""
